UNITID,UGDS,ADM_RATE
151111,21001,0.7397
151166,2721,1
151263,4242,0.8617
151290,7179,0.6917
151306,7764,0.9189
151324,10601,0.8588
151333,2771,0.6913
151342,4981,0.7703
151351,32924,0.7872
151360,3727,0.758
151379,4964,0.8401
151388,3082,0.6028
151458,314,0.7892
151467,296,0.7736
151564,55,NULL
151607,121,NULL
151616,178,NULL
151652,186,NULL
151661,930,NULL
151777,1253,0.7055
151786,2019,0.5958
151801,2679,0.7388
151810,279,NULL
151865,NULL,NULL
151944,131,NULL
151962,78,NULL
152044,29,NULL
152080,8496,0.1873
152099,496,0.3312
152150,29,NULL
152248,7100,0.5868
152266,2519,0.4992
152275,155,NULL
152309,96,NULL
152318,2186,0.6107
152327,15,NULL
152336,1758,0.9672
152363,947,0.7683
152381,569,0.7302
152390,1576,0.8165
152415,218,NULL
152451,NULL,NULL
152497,166,1
152530,1845,0.7961
152567,1767,0.7671
152600,3236,0.8291
152628,28,NULL
152637,7563,NULL
152673,841,0.6262
152798,358,0
152992,972,NULL
153001,1785,0.6369
153074,204,NULL
153083,143,NULL
153108,1184,0.7343
153126,788,0.6493
153144,1323,0.4995
153162,974,0.7094
153171,6,NULL
153214,12818,NULL
153241,61,1
153250,1376,0.7203
153269,3196,0.6895
153278,1924,0.7569
153296,659,NULL
153302,246,0.3565
153311,3361,NULL
153320,207,0.6617
153339,18,NULL
153366,1305,0.484
153375,1876,0.9661
153384,1657,0.2019
153409,179,NULL
153418,424,NULL
153427,163,NULL
153445,3647,NULL
153463,28,NULL
153472,2578,NULL
153524,3437,NULL
153533,1200,NULL
153542,18,NULL
153588,24,NULL
153597,87,NULL
153603,30224,0.8749
153621,520,0.5089
153630,4126,NULL
153658,22990,0.8411
153737,9276,NULL
153746,43,NULL
153764,94,NULL
153773,79,NULL
153782,51,NULL
153825,1422,0.9236
153834,2121,0.6763
153861,320,0.506
153922,1091,NULL
153977,768,NULL
154004,1313,0.5693
154013,1570,0.6188
154022,35252,NULL
154059,1746,NULL
154095,9943,0.8256
154101,1076,0.6553
154110,2262,NULL
154129,770,NULL
154156,NULL,NULL
154165,57,NULL
154174,39,NULL
154208,102,NULL
154235,2387,0.6358
154262,260,0.5
154332,86,NULL
154341,47,NULL
154350,1525,0.8545
154378,1762,NULL
154396,894,NULL
154448,155,NULL
154457,24,NULL
154466,41,NULL
154493,3859,0.5555
154518,1889,0.6671
154527,1449,0.6825
154536,NULL,NULL
154545,23,NULL
154572,2886,NULL
154590,1286,0.5867
154642,2379,NULL
154688,1581,0.7775
154697,2146,NULL
154712,1936,0.6924
154721,655,0.638
154749,459,0.5597
154767,171,NULL
154776,149,NULL
154794,107,NULL
154800,7419,NULL
154855,827,0.5364
154907,1111,NULL
154925,984,NULL
154934,791,NULL
154952,2792,NULL
154998,1042,NULL
155007,318,NULL
155025,3578,0.8743
155052,427,NULL
155061,11698,0.9073
155070,250,0.6667
155089,1164,0.5501
155098,1174,NULL
155104,1462,NULL
155140,820,0.8646
155159,62,NULL
155177,397,NULL
155186,1867,NULL
155195,3831,NULL
155201,670,NULL
155210,11560,NULL
155283,505,0.8498
155292,4266,NULL
155308,99,NULL
155317,18845,0.9301
155335,1095,0.5778
155353,48,NULL
155399,19151,0.9407
155414,678,0.5466
155423,1311,0.5669
155450,1495,NULL
155487,422,NULL
155496,258,0.5951
155511,678,0.573
155520,1224,0.5181
155566,1236,NULL
155593,596,NULL
155618,356,NULL
155627,643,0.5007
155636,358,NULL
155681,5536,0.8734
155715,656,NULL
155812,765,0.4944
155830,251,NULL
